line_no	probe_name	elapsed_ns	budget_ns	over_pct
1	fc.aggregate	1661491000	800000000	107
2	fc.aggregate	1866523000	800000000	133
3	fc.aggregate	4017482000	800000000	402
4	fc.aggregate	1612394000	800000000	101
5	fc.aggregate	2915289000	800000000	264
6	fc.aggregate	1514082000	800000000	89
7	fc.aggregate	1630197000	800000000	103
8	fc.aggregate	2973623000	800000000	271
9	fc.aggregate	1879699000	800000000	134
10	fc.aggregate	1464156000	800000000	83
11	fc.aggregate	3799991000	800000000	374
12	fc.aggregate	1285884000	800000000	60
13	fc.aggregate	1181755000	800000000	47
14	fc.aggregate	3073847000	800000000	284
15	fc.aggregate	1469821000	800000000	83
16	fc.aggregate	2881464000	800000000	260
17	fc.aggregate	3025959000	800000000	278
18	fc.aggregate	1680041000	800000000	110
19	fc.aggregate	2485343000	800000000	210
20	fc.aggregate	3544805000	800000000	343
21	fc.aggregate	2731232000	800000000	241
22	fc.aggregate	1804877000	800000000	125
23	fc.aggregate	3518952000	800000000	339
24	fc.aggregate	1567691000	800000000	95
25	fc.aggregate	3969839000	800000000	396
26	fc.aggregate	2071874000	800000000	158
27	fc.aggregate	1560654000	800000000	95
28	fc.aggregate	1517669000	800000000	89
29	fc.aggregate	2982193000	800000000	272
30	fc.aggregate	1348219000	800000000	68
31	fc.aggregate	1658596000	800000000	107
32	fc.aggregate	3275916000	800000000	309
33	fc.aggregate	1401263000	800000000	75
34	fc.aggregate	1638685000	800000000	104
35	fc.aggregate	2865514000	800000000	258
36	fc.aggregate	1497111000	800000000	87
37	fc.aggregate	1502438000	800000000	87
38	fc.aggregate	2814488000	800000000	251
39	fc.aggregate	1521176000	800000000	90
40	fc.aggregate	3081874000	800000000	285
41	fc.aggregate	1295866000	800000000	61
42	fc.aggregate	2079332000	800000000	159
43	fc.aggregate	2618406000	800000000	227
44	fc.aggregate	2787335000	800000000	248
45	fc.aggregate	2742656000	800000000	242
46	fc.aggregate	1719405000	800000000	114
47	fc.aggregate	2486720000	800000000	210
48	fc.aggregate	2364594000	800000000	195
49	fc.aggregate	2669307000	800000000	233
50	fc.aggregate	1419179000	800000000	77
51	fc.aggregate	2552180000	800000000	219
52	fc.aggregate	1745403000	800000000	118
53	fc.aggregate	5695502000	800000000	611
54	fc.aggregate	1992152000	800000000	149
55	fc.aggregate	1409279000	800000000	76
56	fc.aggregate	1249889000	800000000	56
57	fc.aggregate	2086863000	800000000	160
58	fc.aggregate	3693347000	800000000	361
59	fc.aggregate	945100000	800000000	18
60	fc.aggregate	1966642000	800000000	145
61	fc.aggregate	1889236000	800000000	136
62	fc.aggregate	3097751000	800000000	287
63	fc.aggregate	1463991000	800000000	82
64	fc.aggregate	1490508000	800000000	86
65	fc.aggregate	3474311000	800000000	334
66	fc.aggregate	1767790000	800000000	120
67	fc.aggregate	1660156000	800000000	107
68	fc.aggregate	1794649000	800000000	124
69	fc.aggregate	1353794000	800000000	69
70	fc.aggregate	3447494000	800000000	330
71	fc.aggregate	1334732000	800000000	66
72	fc.aggregate	1797356000	800000000	124
73	fc.aggregate	4064377000	800000000	408
74	fc.aggregate	1147739000	800000000	43
75	fc.aggregate	1933994000	800000000	141
76	fc.aggregate	1591899000	800000000	98
